Name,Origin,Type,Unique Feature,Friendly Rating (1-10),Life Span,Size,Grooming Needs,Exercise Requirements (hrs/day),Good with Children,Intelligence Rating (1-10),Shedding Level,Health Issues Risk,Average Weight (kg),Training Difficulty (1-10)
Affenpinscher,Germany,Toy,Monkey-like face,7.00,14.00,Small,High,1.50,Yes,8.00,Moderate,Low,4.00,6.00
Afghan Hound,Afghanistan,Hound,Long silky coat,5.00,13.00,Large,Very High,2.00,No,4.00,High,Moderate,25.00,8.00
Airedale Terrier,England,Terrier,Largest of terriers,8.00,12.00,Medium,High,2.00,Yes,7.00,Moderate,Low,21.00,6.00
Akita,Japan,Working,Strong loyalty,6.00,11.00,Large,Moderate,2.00,With Training,7.00,High,High,45.00,9.00
Alaskan Malamute,Alaska USA,Working,Strong pulling ability,7.00,11.00,Large,High,3.00,Yes,6.00,Very High,Moderate,36.00,8.00
American Bulldog,USA,Working,Muscular build,8.00,11.00,Large,Low,2.00,Yes,6.00,Moderate,Moderate,42.00,7.00
American Eskimo,USA,Non-Sporting,Pure white coat,9.00,14.00,Small-Medium,High,2.00,Yes,9.00,High,Low,12.00,5.00
American Foxhound,USA,Hound,Musical voice,8.00,12.00,Medium,Low,2.50,Yes,6.00,Moderate,Low,31.00,6.00
Australian Cattle Dog,Australia,Herding,Unique blue or red coat,7.00,14.00,Medium,Moderate,2.50,Yes,9.00,Moderate,Low,15.00,7.00
Australian Shepherd,USA,Herding,Merle coloring,8.00,14.00,Medium,High,2.50,Yes,9.00,High,Moderate,25.00,7.00
Australian Terrier,Australia,Terrier,Small but tough,7.00,13.00,Small,Moderate,1.50,Yes,7.00,Low,Low,6.50,6.00
Basenji,Central Africa,Hound,Doesn't bark,6.00,13.00,Small-Medium,Low,2.00,No,6.00,Low,Low,10.00,9.00
Basset Hound,France,Hound,Short legs long body,8.00,11.00,Medium,Low,1.00,Yes,5.00,Moderate,High,24.00,7.00
Beagle,England,Hound,Excellent sense of smell,9.00,13.00,Small-Medium,Low,2.00,Yes,7.00,Moderate,Moderate,10.00,7.00
Bearded Collie,Scotland,Herding,Long shaggy coat,8.00,13.00,Medium,Very High,2.00,Yes,8.00,High,Low,22.00,6.00
Bernese Mountain Dog,Switzerland,Working,Tri-colored coat,9.00,8.00,Large,High,1.50,Yes,7.00,High,High,43.00,5.00
Bichon Frise,Mediterranean,Non-Sporting,Cotton-like coat,9.00,13.00,Small,Very High,1.00,Yes,8.00,Low,Low,4.00,5.00
Black Russian Terrier,Russia,Working,Black protective coat,7.00,11.00,Large,High,2.00,Yes,8.00,Moderate,Moderate,50.00,8.00
Bloodhound,Belgium,Hound,Superior tracking ability,7.00,11.00,Large,Moderate,2.00,Yes,6.00,Moderate,High,43.00,8.00
Border Collie,UK,Herding,Highest intelligence,8.00,13.00,Medium,High,3.00,Yes,10.00,Moderate,Low,17.00,6.00
